latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
57.87394,56.16192,314.15,0.53,0.67,2021-09-28,0011,N,nominal,2.0NRT,271.92,2.82,N
61.12317,45.53247,301.02,0.39,0.44,2021-09-28,0011,N,nominal,2.0NRT,271.25,0.89,N
55.58848,51.94928,302.95,0.49,0.65,2021-09-28,0011,N,nominal,2.0NRT,274.06,1.6,N
55.59849,51.90318,313.63,0.49,0.65,2021-09-28,0011,N,nominal,2.0NRT,274.23,1.34,N
55.60368,51.90436,303.4,0.49,0.65,2021-09-28,0013,N,nominal,2.0NRT,273.56,0.99,N
55.58622,51.95146,314.58,0.49,0.65,2021-09-28,0013,N,nominal,2.0NRT,274.14,1.5,N
55.59616,51.90491,296.6,0.49,0.65,2021-09-28,0013,N,nominal,2.0NRT,273.41,0.99,N
54.63866,52.19661,303.54,0.55,0.68,2021-09-28,0013,N,nominal,2.0NRT,270.1,0.53,N
59.38673,28.46181,307.92,0.42,0.38,2021-09-28,0013,N,nominal,2.0NRT,277.5,1.12,N
59.38599,28.46254,316.31,0.42,0.38,2021-09-28,0013,N,nominal,2.0NRT,279.08,1.87,N
58.96826,30.03184,303.57,0.4,0.37,2021-09-28,0013,N,nominal,2.0NRT,274.12,0.94,N
59.06378,28.13554,295.51,0.43,0.38,2021-09-28,0013,N,nominal,2.0NRT,277.88,0.66,N
52.22185,51.83857,296.95,0.66,0.73,2021-09-28,0013,N,nominal,2.0NRT,270.95,0.77,N
51.64968,52.79845,295.35,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,269.94,0.68,N
51.61383,52.80109,312.02,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,270.51,2.47,N
51.57166,52.75605,295.19,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,270.55,3.52,N
51.56765,52.76565,313.84,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,270.61,2.8,N
51.61607,52.80481,308.31,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,271.1,1.68,N
51.56401,52.76268,321.52,0.75,0.77,2021-09-28,0013,N,nominal,2.0NRT,271.01,2.83,N
