latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.97699,24.712811,304.86,0.47,0.4,2021-02-25,0042,N,VIIRS,n,1,277.66,1.23,N,2
45.485104,29.482573,327.3,0.47,0.4,2021-02-25,1030,N,VIIRS,n,1,284.4,4.79,D,0
45.491035,29.473902,334.63,0.47,0.4,2021-02-25,1030,N,VIIRS,n,1,285.16,3.83,D,0
45.494576,29.472496,331.42,0.47,0.4,2021-02-25,1030,N,VIIRS,n,1,284,3.83,D,0
46.527332,32.496548,346,0.39,0.36,2021-02-25,1030,N,VIIRS,n,1,281.37,6.94,D,0
48.166328,30.615063,367,0.63,0.72,2021-02-25,2242,N,VIIRS,h,1,276.22,15.25,N,2
48.164764,30.614065,367,0.63,0.72,2021-02-25,2242,N,VIIRS,h,1,277.85,12.02,N,2
47.882175,33.444317,302.84,0.47,0.64,2021-02-25,2242,N,VIIRS,n,1,275.54,0.87,N,2
47.876892,33.40519,299.51,0.47,0.64,2021-02-25,2242,N,VIIRS,n,1,276.04,1.98,N,3
47.870216,33.443794,296.2,0.47,0.64,2021-02-25,2242,N,VIIRS,n,1,275.45,0.84,N,2
46.525398,29.983034,306.15,0.67,0.73,2021-02-25,2242,N,VIIRS,n,1,273.24,2.23,N,0
46.52565,29.986019,309.64,0.67,0.73,2021-02-25,2242,N,VIIRS,n,1,273.37,1.99,N,0
50.543442,26.258505,311.74,0.39,0.36,2021-02-26,0024,N,VIIRS,n,1,274.83,2.27,N,2
47.885433,33.445393,307.39,0.47,0.48,2021-02-26,0024,N,VIIRS,n,1,275.92,1.51,N,2
47.874794,33.412384,303.5,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,276.82,2.33,N,3
47.86731,33.442184,306.49,0.47,0.48,2021-02-26,0024,N,VIIRS,n,1,275.2,2.03,N,2
47.873634,33.39817,296.5,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,277.08,2.46,N,3
47.870983,33.389935,328.81,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,276.83,4.59,N,2
47.874859,33.41272,307.46,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,277.4,2.63,N,3
47.867523,33.442619,308.1,0.47,0.48,2021-02-26,0024,N,VIIRS,n,1,275.55,1.64,N,2
47.873642,33.398449,296.53,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,276.78,2.83,N,3
47.870964,33.390182,332.39,0.47,0.47,2021-02-26,0024,N,VIIRS,n,1,277.26,2.83,N,3
48.166332,30.617762,303.53,0.53,0.42,2021-02-26,0024,N,VIIRS,n,1,275,1.63,N,2
48.162621,30.615923,304.8,0.53,0.42,2021-02-26,0024,N,VIIRS,n,1,278.47,1.91,N,2
48.977032,24.712374,308.59,0.38,0.36,2021-02-26,0024,N,VIIRS,n,1,277.4,1.53,N,2
46.845634,36.79253,328.77,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,284.91,2.21,D,0
47.095402,37.60445,333.99,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,285.63,4.36,D,2
47.103607,37.591042,328.6,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,284.77,1.43,D,2
47.137135,37.584885,328.19,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,286.4,2.3,D,2
47.155159,37.568104,328.34,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,288.44,2.05,D,2
47.1609,37.560822,333.17,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,286.5,4.12,D,2
47.156063,37.530624,328.98,0.39,0.36,2021-02-26,1012,N,VIIRS,n,1,288.14,3,D,2
47.24453,35.60038,342.62,0.41,0.37,2021-02-26,1012,N,VIIRS,n,1,291.49,12.67,D,0
47.369164,36.152332,328.69,0.4,0.37,2021-02-26,1012,N,VIIRS,n,1,286.2,5.52,D,0
