latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.87279,33.41364,299.5,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,272.48,1.3,N
47.86683,33.43951,301.38,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,270.08,0.83,N
48.52066,34.63088,319.52,0.43,0.46,2022-02-24,0022,N,VIIRS,n,2.0NRT,272.73,2.48,N
48.53001,34.64875,314.56,0.43,0.46,2022-02-24,0022,N,VIIRS,n,2.0NRT,271.42,2.29,N
47.87364,33.39091,304.06,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,273.8,2.22,N
47.86973,33.38892,330.59,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,274.91,2.22,N
47.87093,33.38374,314.85,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,273.94,2.98,N
48.53144,34.62406,296.46,0.43,0.46,2022-02-24,0022,N,VIIRS,n,2.0NRT,272.98,1.78,N
48.21544,38.2447,306.75,0.62,0.54,2022-02-24,0022,N,VIIRS,n,2.0NRT,269.42,2.45,N
47.86854,33.3941,305.38,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,271.86,2.22,N
47.87536,35.15868,314.85,0.47,0.48,2022-02-24,0022,N,VIIRS,n,2.0NRT,268.13,1.77,N
47.86969,35.16235,310.67,0.47,0.48,2022-02-24,0022,N,VIIRS,n,2.0NRT,270.36,1.77,N
48.47105,34.9659,297,0.45,0.47,2022-02-24,0022,N,VIIRS,n,2.0NRT,273.18,0.76,N
47.86701,35.15398,299.49,0.47,0.48,2022-02-24,0022,N,VIIRS,n,2.0NRT,270.23,1.63,N
50.28306,33.8824,312.86,0.55,0.43,2022-02-24,0022,N,VIIRS,n,2.0NRT,270.97,1.91,N
47.8767,33.41565,297.41,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,276.93,1.3,N
47.87194,33.43637,295.3,0.4,0.44,2022-02-24,0022,N,VIIRS,n,2.0NRT,271.88,0.83,N
48.5234,34.61959,299.49,0.43,0.46,2022-02-24,0022,N,VIIRS,n,2.0NRT,270.62,0.96,N
46.65987,32.96292,347.45,0.57,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,298.12,42.85,D
46.65829,32.95574,351.81,0.57,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,283.62,18.09,D
46.66528,32.96834,349.58,0.57,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,285.81,14.55,D
45.58217,28.54055,336.98,0.63,0.54,2022-02-24,1008,N,VIIRS,n,2.0NRT,280.2,7.32,D
46.6335,32.74119,326.89,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,268.42,5.55,D
46.64177,32.75891,330.93,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,276.27,4.82,D
46.64893,32.77174,328.67,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,277.78,23.7,D
46.64674,32.76199,342.16,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,290.51,34.67,D
46.64235,32.74246,328.27,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,273.58,41.05,D
46.64783,32.76686,356.91,0.39,0.44,2022-02-24,1008,N,VIIRS,l,2.0NRT,277.84,34.67,D
46.64564,32.75711,293.78,0.39,0.44,2022-02-24,1008,N,VIIRS,l,2.0NRT,319.97,186.43,D
46.6528,32.76994,349.91,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,285.94,23.7,D
46.6517,32.76506,343.66,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,276.84,34.67,D
46.6506,32.76018,353.11,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,284.33,34.67,D
46.64731,32.74553,341.45,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,277.62,41.05,D
46.64622,32.74065,330.01,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,274.76,41.05,D
46.64951,32.75529,208,0.39,0.44,2022-02-24,1008,N,VIIRS,l,2.0NRT,317.88,186.43,D
46.64841,32.75041,208,0.39,0.44,2022-02-24,1008,N,VIIRS,l,2.0NRT,307.86,186.43,D
46.66212,32.79248,338.82,0.38,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,278.27,3.17,D
46.65448,32.75837,333.23,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,286.75,89.1,D
46.65338,32.75349,337.53,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,278.27,35.56,D
46.67202,32.79861,344.82,0.38,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,276.02,4.57,D
46.68258,32.78862,343.78,0.38,0.43,2022-02-24,1008,N,VIIRS,n,2.0NRT,281.22,7.32,D
46.67391,32.71146,343.22,0.39,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,279.02,3.07,D
47.25739,34.6954,331.68,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,288.48,5.45,D
47.26095,34.69382,326.37,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,286.27,5.45,D
47.26093,34.69909,330.34,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,287.6,6.65,D
47.25968,34.69297,327.67,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,286.56,3.84,D
47.27546,34.29154,330.36,0.49,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,283.53,2.24,D
47.04472,32.137,337.77,0.4,0.44,2022-02-24,1008,N,VIIRS,n,2.0NRT,283.04,1.88,D
46.95556,31.39672,326.26,0.43,0.46,2022-02-24,1008,N,VIIRS,n,2.0NRT,287.05,2.32,D
47.62718,34.32475,328.53,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,287.96,6.04,D
47.63203,34.32943,330.72,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,285.27,6.04,D
47.62886,34.32261,325.32,0.48,0.4,2022-02-24,1008,N,VIIRS,n,2.0NRT,287.08,2.78,D
